party,score
ไทยทรัพย์ทวี,6
เพื่อชาติไทย,4
ใหม่,0
มิติใหม่,2
รวมใจไทย,0
รวมไทยสร้างชาติ,3
พลวัต,0
ประชาธิปไตยใหม่,7
เพื่อไทย,118
ทางเลือกใหม่,0
เศรษฐกิจ,8
เสรีรวมไทย,5
รวมพลังประชาชน,5
ท้องที่ไทย,0
อนาคตไทย,0
พลังเพื่อไทย,1
ไทยชนะ,1
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,1
ไทรวมพลัง,1
ก้าวอิสระ,1
ปวงชนไทย,0
วิชชั่นใหม่,0
เพื่อชีวิตใหม่,1
คลองไทย,0
ประชาธิปัตย์,49
ไทยก้าวหน้า,0
ไทยภักดี,1
แรงงานสร้างชาติ,0
ประชากรไทย,0
ครูไทยเพื่อประชาชน,1
ประชาชาติ,1
สร้างอนาคตไทย,0
รักชาติ,0
ไทยพร้อม,1
ภูมิใจไทย,39
พลังธรรมใหม่,1
กรีน,0
ไทยธรรม,1
แผ่นดินธรรม,1
กล้าธรรม,0
พลังประชารัฐ,2
โอกาสใหม่,0
เป็นธรรม,0
ประชาชน,251
ประชาไทย,2
ไทยสร้างไทย,6
ไทยก้าวใหม่,0
ประชาอาสาชาติ,0
พร้อม,1
เครือข่ายชาวนาแห่งประเทศไทย,1
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,1
