party,score
ไทยทรัพย์ทวี,1
เพื่อชาติไทย,1
ใหม่,2
มิติใหม่,1
รวมใจไทย,1
รวมไทยสร้างชาติ,5
พลวัต,1
ประชาธิปไตยใหม่,5
เพื่อไทย,71
ทางเลือกใหม่,3
เศรษฐกิจ,19
เสรีรวมไทย,3
รวมพลังประชาชน,0
ท้องที่ไทย,0
อนาคตไทย,0
พลังเพื่อไทย,1
ไทยชนะ,0
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,2
ก้าวอิสระ,0
ปวงชนไทย,1
วิชชั่นใหม่,1
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,13
ไทยก้าวหน้า,0
ไทยภักดี,0
แรงงานสร้างชาติ,0
ประชากรไทย,1
ครูไทยเพื่อประชาชน,0
ประชาชาติ,0
สร้างอนาคตไทย,0
รักชาติ,1
ไทยพร้อม,1
ภูมิใจไทย,44
พลังธรรมใหม่,1
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,0
กล้าธรรม,4
พลังประชารัฐ,0
โอกาสใหม่,5
เป็นธรรม,1
ประชาชน,266
ประชาไทย,2
ไทยสร้างไทย,0
ไทยก้าวใหม่,1
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,1
พลังไทยรักชาติ,0
