party,score
ไทยทรัพย์ทวี,5
เพื่อชาติไทย,6
ใหม่,2
มิติใหม่,0
รวมใจไทย,3
รวมไทยสร้างชาติ,5
พลวัต,0
ประชาธิปไตยใหม่,2
เพื่อไทย,141
ทางเลือกใหม่,2
เศรษฐกิจ,18
เสรีรวมไทย,3
รวมพลังประชาชน,6
ท้องที่ไทย,0
อนาคตไทย,1
พลังเพื่อไทย,3
ไทยชนะ,0
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,0
ก้าวอิสระ,0
ปวงชนไทย,0
วิชชั่นใหม่,1
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,15
ไทยก้าวหน้า,0
ไทยภักดี,3
แรงงานสร้างชาติ,0
ประชากรไทย,0
ครูไทยเพื่อประชาชน,0
ประชาชาติ,1
สร้างอนาคตไทย,1
รักชาติ,0
ไทยพร้อม,0
ภูมิใจไทย,57
พลังธรรมใหม่,2
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,0
กล้าธรรม,1
พลังประชารัฐ,0
โอกาสใหม่,0
เป็นธรรม,2
ประชาชน,295
ประชาไทย,1
ไทยสร้างไทย,0
ไทยก้าวใหม่,2
ประชาอาสาชาติ,0
พร้อม,1
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
