party,score
ไทยทรัพย์ทวี,8
เพื่อชาติไทย,4
ใหม่,1
มิติใหม่,0
รวมใจไทย,2
รวมไทยสร้างชาติ,1
พลวัต,0
ประชาธิปไตยใหม่,9
เพื่อไทย,152
ทางเลือกใหม่,1
เศรษฐกิจ,14
เสรีรวมไทย,2
รวมพลังประชาชน,5
ท้องที่ไทย,0
อนาคตไทย,0
พลังเพื่อไทย,2
ไทยชนะ,0
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,0
ก้าวอิสระ,0
ปวงชนไทย,0
วิชชั่นใหม่,0
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,6
ไทยก้าวหน้า,2
ไทยภักดี,0
แรงงานสร้างชาติ,1
ประชากรไทย,0
ครูไทยเพื่อประชาชน,0
ประชาชาติ,1
สร้างอนาคตไทย,1
รักชาติ,2
ไทยพร้อม,0
ภูมิใจไทย,31
พลังธรรมใหม่,0
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,1
กล้าธรรม,2
พลังประชารัฐ,0
โอกาสใหม่,0
เป็นธรรม,0
ประชาชน,188
ประชาไทย,1
ไทยสร้างไทย,0
ไทยก้าวใหม่,1
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,1
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,1
พลังไทยรักชาติ,1
