party,score
ไทยทรัพย์ทวี,2
เพื่อชาติไทย,1
ใหม่,0
มิติใหม่,2
รวมใจไทย,1
รวมไทยสร้างชาติ,3
พลวัต,0
ประชาธิปไตยใหม่,4
เพื่อไทย,186
ทางเลือกใหม่,0
เศรษฐกิจ,3
เสรีรวมไทย,0
รวมพลังประชาชน,1
ท้องที่ไทย,0
อนาคตไทย,0
พลังเพื่อไทย,0
ไทยชนะ,1
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,1
ก้าวอิสระ,0
ปวงชนไทย,0
วิชชั่นใหม่,1
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,7
ไทยก้าวหน้า,0
ไทยภักดี,0
แรงงานสร้างชาติ,0
ประชากรไทย,0
ครูไทยเพื่อประชาชน,0
ประชาชาติ,0
สร้างอนาคตไทย,0
รักชาติ,0
ไทยพร้อม,0
ภูมิใจไทย,15
พลังธรรมใหม่,3
กรีน,1
ไทยธรรม,0
แผ่นดินธรรม,0
กล้าธรรม,0
พลังประชารัฐ,1
โอกาสใหม่,4
เป็นธรรม,0
ประชาชน,119
ประชาไทย,0
ไทยสร้างไทย,4
ไทยก้าวใหม่,1
ประชาอาสาชาติ,0
พร้อม,1
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
