party,score
ไทยทรัพย์ทวี,6
เพื่อชาติไทย,2
ใหม่,2
มิติใหม่,2
รวมใจไทย,3
รวมไทยสร้างชาติ,8
พลวัต,3
ประชาธิปไตยใหม่,8
เพื่อไทย,129
ทางเลือกใหม่,1
เศรษฐกิจ,10
เสรีรวมไทย,3
รวมพลังประชาชน,6
ท้องที่ไทย,0
อนาคตไทย,1
พลังเพื่อไทย,3
ไทยชนะ,0
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,1
ฟิวชัน,0
ไทรวมพลัง,0
ก้าวอิสระ,1
ปวงชนไทย,1
วิชชั่นใหม่,2
เพื่อชีวิตใหม่,1
คลองไทย,0
ประชาธิปัตย์,15
ไทยก้าวหน้า,0
ไทยภักดี,3
แรงงานสร้างชาติ,1
ประชากรไทย,1
ครูไทยเพื่อประชาชน,0
ประชาชาติ,0
สร้างอนาคตไทย,0
รักชาติ,0
ไทยพร้อม,0
ภูมิใจไทย,21
พลังธรรมใหม่,2
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,1
กล้าธรรม,1
พลังประชารัฐ,1
โอกาสใหม่,0
เป็นธรรม,0
ประชาชน,221
ประชาไทย,1
ไทยสร้างไทย,3
ไทยก้าวใหม่,0
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
