party,score
ประชาชน,123
ไทยก้าวใหม่,3
ภูมิใจไทย,25
ประชาธิปัตย์,6
เศรษฐกิจ,3
กล้าธรรม,10
รวมไทยสร้างชาติ,3
เพื่อไทย,165
เสรีรวมไทย,10
วิชชั่นใหม่,0
