party,score
ไทยทรัพย์ทวี,7
เพื่อชาติไทย,6
ใหม่,0
มิติใหม่,1
รวมใจไทย,2
รวมไทยสร้างชาติ,3
พลวัต,1
ประชาธิปไตยใหม่,5
เพื่อไทย,88.7678231436429
ทางเลือกใหม่,4
เศรษฐกิจ,7
เสรีรวมไทย,0
รวมพลังประชาชน,5
ท้องที่ไทย,1
อนาคตไทย,1
พลังเพื่อไทย,1
ไทยชนะ,1
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,1
ไทรวมพลัง,0
ก้าวอิสระ,0
ปวงชนไทย,1
วิชชั่นใหม่,1
เพื่อชีวิตใหม่,1
คลองไทย,1
ประชาธิปัตย์,3
ไทยก้าวหน้า,1
ไทยภักดี,1
แรงงานสร้างชาติ,1
ประชากรไทย,1
ครูไทยเพื่อประชาชน,1
ประชาชาติ,1
สร้างอนาคตไทย,1
รักชาติ,0
ไทยพร้อม,0
ภูมิใจไทย,13
พลังธรรมใหม่,2
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,0
กล้าธรรม,2
พลังประชารัฐ,0
โอกาสใหม่,1
เป็นธรรม,0
ประชาชน,114
ประชาไทย,1
ไทยสร้างไทย,1
ไทยก้าวใหม่,2
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,1
ไทยพิทักษ์ธรรม,1
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
