party_name,filename
วิชช์นิ่มใหม่,district_ban_thi__02_subdistrict_huai_yap__polling_unit_10__constituency_vote_page_1.md
วิชช์นใหม่,district_ban_thi__01_subdistrict_ban_thi__polling_unit_13__party_list_vote_page_2.md
วิชช์ใหม่,advance_in_district__constituency_vote_09_page_1.md
วิชัยขึ้นใหม่,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_8__constituency_vote_page_1.md
วิชัยชนใหม่,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_6__constituency_vote_page_1.md
วิชัยใหม่,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_6__constituency_vote_page_1.md
วิชาชีพใหม่,district_mae_tha__06_subdistrict_tha_kat__polling_unit_12__constituency_vote_page_1.md
ห้องที่ไทย,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_15__party_list_vote_page_2.md
เพื่อไทยชาติ,district_mueang_lamphun__15_office_ban_paen__polling_unit_4__party_list_vote_page_1.md
เสรีรวมไทย14,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_12__constituency_vote_page_1.md
แผนกต่อธรรม,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_10__party_list_vote_page_3.md
แม่นดินธรรม,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_3.md
ใหม่สปป.ลาว,district_mae_tha__03_subdistrict_municipality_tha_sop_sao__polling_unit_5__party_list_vote_page_1.md
ใหม่สุโขทัย,district_mae_tha__03_subdistrict_municipality_tha_sop_sao__polling_unit_8__party_list_vote_page_1.md
ไทยก้าวหน้านาแห่งประเทศไทย,district_mae_tha__03_subdistrict_municipality_tha_sop_sao__polling_unit_10__party_list_vote_page_2.md
ไทยก้าวหน้าบางแห่งประเทศไทย,district_mae_tha__03_subdistrict_municipality_tha_sop_sao__polling_unit_5__party_list_vote_page_2.md
ไทยชนะรวม,district_ban_thi__01_subdistrict_ban_thi__polling_unit_17__party_list_vote_page_2.md
ไทยทรัพยากร,district_mae_tha__12_subdistrict_tha_mae_lop__polling_unit_4__party_list_vote_page_1.md
๐,district_ban_thi__02_subdistrict_huai_yap__polling_unit_9__party_list_vote_page_3.md
๑,district_mae_tha__06_subdistrict_tha_kat__polling_unit_7__party_list_vote_page_3.md
๒,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
๕๓,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
