arabic_vote,thai_vote,party_name,filename
739,,เป็นธรรม,district_ban_thi__02_subdistrict_huai_yap__polling_unit_9__party_list_vote_page_3.md
739,,เครือข่ายชาวนาแห่งประเทศไทย,district_ban_thi__02_subdistrict_huai_yap__polling_unit_9__party_list_vote_page_3.md
739,,พลังไทยรักชาติ,district_ban_thi__02_subdistrict_huai_yap__polling_unit_9__party_list_vote_page_3.md
739,,พลังประชารัฐ,district_ban_thi__02_subdistrict_huai_yap__polling_unit_9__party_list_vote_page_3.md
739,,พร้อม,district_ban_thi__02_subdistrict_huai_yap__polling_unit_9__party_list_vote_page_3.md
739,,ประชาไทย,district_ban_thi__02_subdistrict_huai_yap__polling_unit_9__party_list_vote_page_3.md
739,,ประชาอาสาชาติ,district_ban_thi__02_subdistrict_huai_yap__polling_unit_9__party_list_vote_page_3.md
739,,ประชาชน,district_ban_thi__02_subdistrict_huai_yap__polling_unit_9__party_list_vote_page_3.md
739,,ความหวังใหม่,district_ban_thi__02_subdistrict_huai_yap__polling_unit_9__party_list_vote_page_3.md
739,,กรีน,district_ban_thi__02_subdistrict_huai_yap__polling_unit_9__party_list_vote_page_3.md
726,,ไทยสร้างไทย,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
726,,ไทยรวมไทย,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
726,,ไทยพิทักษ์ธรรม,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
726,,ไทยธรรม,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
726,,ไทยก้าวใหม่,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
726,,โอกาสใหม่,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
726,,แผ่นดินธรรม,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
726,,เพื่อบ้านเมือง,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
726,,เป็นธรรม,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
726,,เครือข่ายชาวนาแห่งประเทศไทย,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
726,,รักชาติ,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
726,,พลังไทยรักชาติ,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
726,,พลังประชารัฐ,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
726,,พลังธรรมใหม่,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
726,,พร้อม,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
726,,ประชาไทย,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
726,,ประชาอาสาชาติ,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
726,,ประชาชน,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
726,,ความหวังใหม่,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
726,,กล้าธรรม,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
726,,กรีน,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
708,แปดสิบ,ประชาธิปไตยใหม่,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_5__party_list_vote_page_1.md
703,,ไทยก้าวหน้า,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_2.md
703,,เสรีรวมไทย,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_2.md
703,,พลังเพื่อไทย,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_2.md
687,ห้าร้อยแปดสิบเก้า,พลังไทยรักชาติ,district_mueang_lamphun__07_subdistrict_mueang_chi__polling_unit_9__party_list_vote_page_3.md
679,,เศรษฐกิจ,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_20__party_list_vote_page_2.md
627,สิบห้า,ประชาธิปัตย์,district_mueang_lamphun__07_subdistrict_mueang_chi__polling_unit_3__party_list_vote_page_2.md
610,,เศรษฐกิจ,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_2.md
595,ห้าร้อยเก้าสิบห้า,รวมใจไทย,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_4__party_list_vote_page_1.md
588,ห้าร้อยแปดสิบแปดคะแนน,ประชาชน,advance_outside_district_and_overseas__constituency_vote_07_page_1.md
585,ห้าร้อยแปดสิบห้า,พลังไทยรักชาติ,district_mueang_lamphun__12_subdistrict_umong__polling_unit_13__party_list_vote_page_3.md
576,,พลังไทยรักชาติ,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_17__party_list_vote_page_3.md
572,ห้าร้อยเจ็ดสิบสอง,ประชาชน,advance_outside_district_and_overseas__party_list_vote_08_page_3.md
564,ห้าร้อยหกสิบสี่,ประชาชน,advance_outside_district_and_overseas__constituency_vote_08_page_1.md
551,ห้าร้อยห้าสิบเอ็ด,พลังไทยรักชาติ,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_8__party_list_vote_page_3.md
550,ห้าพันห้าสิบ,ประชาชน,advance_outside_district_and_overseas__party_list_vote_06_page_3.md
549,ห้าร้อยสี่สิบเก้า,ประชาชน,advance_outside_district_and_overseas__party_list_vote_04_page_3.md
549,นำโรงสี่ลิบเก้า,ประชาชน,advance_outside_district_and_overseas__party_list_vote_02_page_3.md
545,ห้าร้อยสี่สิบห้า,ประชาชน,advance_outside_district_and_overseas__constituency_vote_02_page_1.md
544,ห้าร้อยสี่สิบสี่คะแนน,ประชาชน,advance_outside_district_and_overseas__party_list_vote_07_page_3.md
540,ห้าร้อยสี่สิบ,ประชาชน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_5__constituency_vote_page_1.md
539,ห้าร้อยสามสิบเก้า,ประชาชน,advance_outside_district_and_overseas__party_list_vote_09_page_3.md
538,ห้าร้อยสามสิบแปด,ประชาชน,advance_outside_district_and_overseas__party_list_vote_03_page_3.md
536,ห้าร้อยสามสิบหก,ประชาชน,advance_outside_district_and_overseas__party_list_vote_05_page_3.md
529,ห้าร้อยยี่สิบเจ็ด,ประชาชน,advance_outside_district_and_overseas__constituency_vote_06_page_1.md
527,,ภูมิใจไทย,district_ban_thi__02_subdistrict_huai_yap__polling_unit_9__party_list_vote_page_3.md
526,ห้าร้อยยี่สิบหก,ประชาชน,advance_outside_district_and_overseas__constituency_vote_04_page_1.md
523,หกร้อยยี่สิบสาม,ประชาชน,advance_outside_district_and_overseas__constituency_vote_05_page_1.md
522,ห้าร้อยยี่สิบสอง,ประชาชน,advance_outside_district_and_overseas__constituency_vote_09_page_1.md
521,ห้าร้อยยี่สิบเก้า,ประชาชน,advance_outside_district_and_overseas__constituency_vote_03_page_1.md
515,ห้าร้อยสิบห้า,ไทยทรัพย์ทวี,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_5__party_list_vote_page_1.md
513,ห้าร้อยสี่สิบสาม,ประชาชน,advance_outside_district_and_overseas__party_list_vote_01_page_3.md
511,ห้าร้อยสิบเอ็ด,ประชาชน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_5__party_list_vote_page_3.md
502,ห้าร้อยสอง,ประชาชน,advance_outside_district_and_overseas__constituency_vote_01_page_1.md
500,,ภูมิใจไทย,district_mae_tha__11_5_11_tha_khum_ngoen__polling_unit_6__party_list_vote_page_3.md
499,สี่ร้อยเก้าสิบเก้า,ภูมิใจไทย,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_8__party_list_vote_page_3.md
493,สิบสาม,ภูมิใจไทย,district_mueang_lamphun__08_subdistrict_nong_chang_khuen__polling_unit_1__party_list_vote_page_3.md
480,สี่ร้อยแปดสิบ,พลังไทยรักชาติ,district_mueang_lamphun__12_subdistrict_umong__polling_unit_15__party_list_vote_page_3.md
479,ด้วย,ไทยทรัพย์ทวี,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_6__party_list_vote_page_1.md
466,สี่ร้อยหกสิบหก,พลังไทยรักชาติ,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_5__party_list_vote_page_3.md
450,สี่ร้อยแปดสิบสาม,พลังไทยรักชาติ,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_6__party_list_vote_page_3.md
439,สี่ร้อยสามสิบเก้า,ประชาชน,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_8__party_list_vote_page_3.md
435,ศูนย์,เศรษฐกิจ,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_1__constituency_vote_page_1.md
433,สี่ร้อยสามสิบสาม,ประชาชน,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_8__constituency_vote_page_1.md
429,ปีงบสี่ร้อยยี่สิบเก้านิคมสี่ร้อยเจ็ดสิบสี่,พลังไทยรักชาติ,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_6__party_list_vote_page_3.md
426,,รักชาติ,district_ban_thi__02_subdistrict_huai_yap__polling_unit_9__party_list_vote_page_3.md
422,สี่ร้อยยี่สิบสอง,พลังไทยรักชาติ,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_14__party_list_vote_page_3.md
418,สี่ร้อยสิบแปด,ประชาชน,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_17__constituency_vote_page_1.md
414,สี่ร้อยสี่สิบ,เพื่อไทย,district_mae_tha__03_subdistrict_municipality_tha_sop_sao__polling_unit_5__constituency_vote_page_1.md
413,สี่ร้อยสิบสาม,ประชาชน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_1__constituency_vote_page_1.md
413,สว่างลาง,ประชาชน,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_7__party_list_vote_page_3.md
409,สี่ร้อยเก้าสิบเก้า,ประชาชน,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_7__constituency_vote_page_1.md
402,สี่ร้อยสอง,พลังไทยรักชาติ,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_3__party_list_vote_page_3.md
397,,พลังไทยรักชาติ,district_mueang_lamphun__12_subdistrict_umong__polling_unit_10__party_list_vote_page_3.md
391,สามร้อยเก้าสิบเอ็ดสิบหมื่นบาท,ประชาชน,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_4__party_list_vote_page_3.md
386,สามร้อยแปดสิบหก,ประชาชน,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_7__constituency_vote_page_1.md
382,,ประชาชน,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_17__party_list_vote_page_3.md
377,สามร้อยเจ็ดสิบเจ็ด,ประชาชน,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_19__constituency_vote_page_1.md
375,ห้าร้อยเจ็ดสิบห้า,พลังไทยรักชาติ,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_9__party_list_vote_page_3.md
374,สามร้อยเจ็ดสิบสี่คะแนน,ประชาชน,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_4__constituency_vote_page_1.md
374,,ไทยก้าวหน้า,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_20__party_list_vote_page_2.md
372,สามร้อยแปดสิบสอง,เพื่อชาติไทย,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_5__party_list_vote_page_1.md
372,สามร้อยเจ็ดสิบสอง,ประชาชน,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_7__party_list_vote_page_3.md
366,สามร้อยหกสิบหก,ประชาชน,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_9__constituency_vote_page_1.md
364,สามร้อยหกสิบสี่,ประชาชน,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_6__constituency_vote_page_1.md
349,สี่ร้อยสี่สิบเก้า,ประชาชน,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_6__party_list_vote_page_3.md
344,สามร้อยสี่สิบสี่,ประชาชน,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_10__constituency_vote_page_1.md
343,สามร้อยสี่สิบสามคะแนน,ประชาชน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_11__constituency_vote_page_1.md
341,สามร้อยสี่สิบเอ็ด,ประชาชน,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_8__constituency_vote_page_1.md
336,สามร้อยสามสิบหก,ประชาชน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_17__constituency_vote_page_1.md
